"año","productividad","salarios"
1,53,80.5
2,50,74.7704546572988
3,50,70.5984202628897
4,61,76.9499941358785
5,64,77.5267208389617
6,46,61.8969475228198
7,66,79.6691110235468
8,56,72.7983737345868
9,60,75.496031539618
10,72,85.5472783667464
11,45,62.7905119675544
12,41,55.4935376133985
13,51,62.5140552503863
14,44,56.1827616882427
15,47,56.5987459648434
16,34,49.7854574227582
17,46,56.4260284842113
18,50,59.0849401971667
19,60,70.37489269699
20,58,64.4252622725059
21,45,52.7585627094587
22,40,48.3589320445301
23,47,52.5426960408134
24,60,62.6466502676633
25,54,57.0710631251465
26,33,39.7940754640907
27,48,52.7019678427189
28,35,40.6364335997075
29,52,51.3158952548323
30,47,47.9872436867507
31,51,49.6184543810985
32,51,50.8202788145124
