"concentracion","vida"
101,7.5
102,4.2
103,7
104,6.1
105,9.5
106,6.1
107,5.3
108,4.7
109,6.6
110,5.5
111,7.3
112,5.9
113,8.8
114,5.1
115,8.1
116,6.8
117,6.2
118,10
119,12.9
120,4.9
121,4
122,6.2
123,9.2
124,4.7
125,12.6
126,5.4
127,6.9
128,6.8
129,6.1
130,7.1
131,7.5
132,5.9
133,13.5
134,12.5
135,7.1
136,8.5
137,9.7
138,13.4
139,10
140,9.6
141,8.8
142,11.6
143,9.9
144,8.2
145,17.5
146,9.6
147,7.9
148,6.2
149,12.6
150,9.8
151,16.1
152,20.4
153,12.2
154,17.9
155,12.8
156,5.9
157,13.6
158,13.1
159,32.5
160,12.7
161,10.8
162,15.1
163,21
164,17.6
165,18.2
166,21.8
167,20.5
168,10.9
169,16.6
170,20.7
171,12.8
172,27
173,7.9
174,20.3
175,28.1
176,17.8
177,13.9
178,13.8
179,23.7
180,21.5
181,25.5
182,25.7
183,18.6
184,13.6
185,29.3
186,33.8
187,22.2
188,32.1
189,31.4
190,10.3
191,30.6
192,43.3
193,25.3
194,25.9
195,54.2
196,30.4
197,18.3
198,29.5
199,34.5
200,27
