"consumo","potmax"
917,4.4
66,0.7
117,1.2
207,1.8
357,2.2
209,1.2
408,2.6
89,1.3
82,0.6
204,1.8
242,1.7
172,1.9
270,1.8
116,0.9
173,1.3
237,2.4
49,0.7
73,0.9
116,1
149,1.3
124,1.4
89,0.8
196,1.5
125,1
146,1.3
145,1.4
177,1.1
167,1.3
206,1.7
407,2
97,0.7
184,1.4
95,1.1
271,2.3
74,0.8
294,1.9
164,1.5
88,1.1
341,2.3
430,1.8
105,1
284,2.3
133,1.4
243,1.7
133,0.9
201,1.4
113,1
189,1.1
253,1.3
199,1.8
278,1.7
123,1.3
337,2.2
244,0.9
71,0.3
181,1.5
165,1.3
66,0.8
88,1
97,1
224,1.8
112,1.8
337,1.9
159,1.3
63,0.8
203,1.6
113,1.1
142,0.7
358,2.7
82,1.4
181,1.4
151,1.6
264,1.8
200,1.6
56,0.1
648,3.5
61,0.7
351,2.3
149,1.5
209,1.3
203,1.1
221,1.7
186,1.5
162,1.2
154,1.1
334,2
133,1.7
46,0.8
95,0.9
159,1.3
275,2.2
364,2.2
154,1.3
108,0.8
185,1.8
153,1.1
248,1.4
179,1.4
227,1.7
144,1.6
